PN,rating,rating_count,comment_count,name,price,CPU,RAM,RAM_upgradable,GPU,battery_wh,hard_drive,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
90NB0S41-M05040,5,1,6,Asus Zenbook Duo UX482EA-KA268T/i7-1165G7,38799000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 1 TB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.62,324,222,--,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4Y0Z8PA,5,1,8,HP Gaming OMEN 16 b0142TX i5 11400H,38799000,Intel Core i5 - 11400H,16 GB,Yes,NVIDIA GeForce RTX 3050 Ti 4GB,200 W,SSD 1 TB,Yes,"16.1""",1920 x 1080 Pixel,144 Hz,IPS LCD,2.3,369,262,23.5,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P89F003G5500B,5,1,30,Dell Gaming G5 15 Core i7 10750H,37999000,Intel Core i7 - 10750H,16 GB,Yes,NVIDIA GeForce RTX 2070 8GB,240 W,SSD 1 TB,Yes,"15.6""",1920 x 1080 Pixel,300 Hz,WVA Anti-glare LED Backlit Narrow Border,2.65,364.46,254,31.13,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70252800,5,1,2,Dell Gaming G5 5500 i7 10750H,37999000,Intel Core i7 - 10750H,16 GB,Yes,NVIDIA GeForce RTX 2070 8GB GDDR6,240 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,120 Hz,WVA Anti-glare LED Backlit Narrow Border,2.4,364.46,364.46,254,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P100F001,5,1,19,Dell Gaming G7 15 7500 i7 10750H,36999000,Intel Core i7 - 10750H,8 GB,Yes,NVIDIA® GeForce® GTX 1660Ti 6GB,240 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,WVA Anti-glare LED Backlit Narrow Border,2.56,357.2,267.7,18.3,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NX0SX1-M10080,5,1,2,Asus ExpertBook B9400CEA-KC0790T/i7-1165G7,36299000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 1 TB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,0.995,320,203,14.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NH.QBRSV.001,5,1,10,Acer Nitro Gaming AN515-45-R9SC/R7-5800H,35999000,AMD Ryzen 7 - 5800H,8 GB,Yes,Nvidia Geforce RTX3070 8GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
MGN73SA/A,5,1,65,"MacBook Air 13"" 2020 M1 512GB",34999000,Apple M1 - --,8 GB,Yes,Apple M1,--,SSD 512 GB,Yes,"13.3""",2560 x 1600 Pixel,--,"IPS LCD LED Backlit, True Tone",1.29,304.1,212.4,4.1 ~ 16.1,Mac OS,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
061VN,5,1,19,MSI Gaming Stealth15M A11SDK 061VN i7 1185G7,34490000,Intel Core i7 - 1185G7,Đang cập nhật,Yes,GeForce GTX 1660Ti Max- Q 6GB,150 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",1.693,358,248,15.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
MYDA2SA/A,5,7,680,"MacBook Pro 13"" 2020 Touch Bar M1 256GB",33999000,Apple M1 - --,8 GB,Yes,Apple M1,--,SSD 256 GB,Yes,"13.3""",2560 x 1600 Pixel,--,"IPS LCD LED Backlit, True Tone",1.4,304.1,212.4,15.6,Mac OS,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
nan,nan,nan,nan,HP ZBook Firefly 14 G8 i5 1135G7/1A2F1AV,33899000,nan,16 GB,No,Intel Iris Xe Graphics,nan,nan,No,"14.0""",nan,nan,nan,1.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No
242VN,4,53,44,MSI Leopard GL65 10SDK-242VN/Core i7-10750H,33490000,Intel Core i7 - 10750H,16 GB,Yes,GeForce GTX 1660 Ti 6GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,LED-backlit,2.3,357,248,27.5,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0S41-M05030,5,1,2,Asus Zenbook Duo UX482EA-KA274T/i5-1135G7,31999000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.62,324,222,--,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0S41-M02460,5,1,46,Asus Zenbook Duo UX482EA-KA081T i5 1135G7,31499000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.62,324,222,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QDGSV.003,5,1,61,Acer Nitro Gaming AN515-57-5831/i5-11400H,31349000,Intel Core i5 - 11400H,8 GB,Yes,NVIDIA GeForce RTX 3060 6GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
P89F002BWH,5,1,64,Dell Gaming G3 15 i7 10750H,31059000,Intel Core i7 - 10750H,16 GB,Yes,NVIDIA® GeForce® GTX 1660Ti 6GB,240 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,120 Hz,WVA Anti-glare LED Backlit Narrow Border,2.58,364.46,254,32,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P89F002G3500B,3,2,205,Dell Gaming G3 15 3500B i7 10750H/P89F002G3500B,31059000,Intel Core i7 - 10750H,16 GB,Yes,Nvidia GTX1660Ti 6GB,240 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,120 Hz,WVA Anti-glare LED Backlit Narrow Border,2.58,364.46,254,21.60 ~ 30.96,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2019,5,1,78,Microsoft Surface Pro 7/Core i5-1035G4,30499000,Intel Core i5 - 1035G4,8 GB,Yes,Intel Iris Plus Graphics,65 W,SSD 256 GB,Yes,"12.3""",2736 x 1824 Pixel,60 Hz,--,0.775,201,8.5,292,Windows 10,Hợp kim Magie,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70258049,5,1,58,Dell Gaming G15 5515 R7 5800H/70258049,30099000,AMD Ryzen 7 - 5800H,8 GB,Yes,NVIDIA GeForce GTX 3050 4GB,180 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,120 Hz,WVA Anti-glare LED Backlit Narrow Border,2.81,357,272,26.9,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
2K0B6PA,5,1,127,HP Envy 13 ba1030TU i7 1165G7/2K0B6PA,29779000,Intel Core i7 - 1165G7,8 GB,Yes,Card Onboard,65 W,SSD 512 GB,Yes,"13.3""",1920 x 1080 Pixel,60 Hz,BrightView Micro-edge WLED-backlit,1.25,307,194.5,16.9,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
G5 MD-51S1123SH,5,1,46,Gigabyte Gaming G5 MD i5 11400H/51S1123SH,28499000,Intel Core i5 - 11400H,16 GB,Yes,NVIDIA GeForce RTX3050 Ti 4GB,150 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Anti-glare LED-backlit,2.2,361,258,24.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NX.AU3SV.001,5,1,60,Acer Swift X SFX14-41G-R61A/R5-5600U,28499000,AMD Ryzen 5 - 5600U,16 GB,Yes,Nvidia Geforce RTX3050Ti 4GB,--,nan,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Acer ComfyView LED-backlit,1.39,322.8,212.2,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
FX706HC-HX009T,5,1,28,Asus TUF Gaming FX706HC-HX009T/i7-11800H,27999000,Intel Core i7 - 11800H,8 GB,Yes,Nvidia Geforce RTX3050 4GB,48 W,SSD 512 GB,Yes,"17.3""",1920 x 1080 Pixel,144 Hz,Anti-glare LED-backlit,2.6,399,269,21.37 ~ 26.13,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
31J36PA,5,1,12,HP Pavillion Gaming 15 dk1159TX/i7 10750H,27990000,Intel Core i7 - 10750H,8 GB,Yes,NVIDIA® GeForce® GTX1659 4GB,150 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,LED-backlit,2.23,360,256,23.4,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NR05U1-M00940,5,1,58,ASUS Gaming TUF FX516PC-HN001T/i7-11370H,27790000,Intel Core i7 - 11370H,8 GB,Yes,Nvidia Geforce RTX3050 4GB,200 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Anti-glare LED-backlit,2,360,252,19.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
1K3U8PA,5,1,56,HP Pavilion Gaming 15 dk1074TX i7 10750H/1K3U8PA,27490000,Intel Core i7 - 10750H,8 GB,Yes,GeForce GTX 1650 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixels,60 Hz,IPS LCD,2.23 Kg,360.02,256,23.4,Windows 10 Home SL 64,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
171N3PA,5,1,99,HP Envy x360 13 ay0069AU R7 4700U/171N3PA,27199000,AMD Ryzen™ 7 - 4700U,8 GB,Yes,AMD Radeon Graphics,65 W,SSD 256 GB,Yes,"13.3""",1920 x 1080 Pixels,60 Hz,FHD Touch,1.32kg,306.5,194.6,16.4,Windows 10 Home,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82A30075VN,5,2,317,Lenovo Yoga Slim 7 14ITL05 i7 1165G7,27199000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.36,320.5,208.5,14.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
82B500RRVN,5,1,329,Lenovo Gaming Legion 5 R7 4800H,26999000,AMD Ryzen 7 - 4800H,16 GB,Yes,NVIDIA® GeForce® GTX1650Ti 4GB,170 W,nan,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",2.3,363,256.9,22,Windows 10,ABS plastic,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
82L3005FVN,5,1,104,Lenovo Ideapad 5 Pro 14ITL6 i7 1165G7/82L3005FVN,26699000,Intel Core i7 - 1165G7,16 GB,Yes,NVIDIA Geforce MX450 2GB,--,SSD 512 GB,Yes,"14.0""",--,60 Hz,"IPS LCD LED Backlit, True Tone",1.41,308,221.7,15.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
2019,5,1,127,Microsoft Surface Pro 7/Core i5-1035G4,25999000,Intel Core i5 - 1035G4,8 GB,Yes,Intel Iris Plus Graphics,65 W,SSD 128 GB,Yes,"12.3""",2736 x 1824 Pixel,60 Hz,--,0.775,201,8.5,292,Windows 10,Hợp kim Magie,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82N7002LVN,5,1,1,Lenovo Yoga 7 14ACN6 R7 5800U/82N7002LVN,25299000,AMD Ryzen 7 - 5800U,8 GB,Yes,AMD Radeon Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,--,IPS LCD,1.45,320.34,214.6,15.69,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
V4I7015W,5,1,216,Dell Vostro V3400 i7 1165G7,25219000,Intel Core i7 - 1165G7,8 GB,Yes,NVIDIA® GeForce® MX330 2GB,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.81,361.4,249,199,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2Z6J6PA,5,1,53,HP Probook 440 G8 i7 1165G7,25190000,Intel Core i7 - 1165G7,16 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1200 Pixel,--,--,1.4,324,212.4,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD8SV.002,4,8,1795,Acer Nitro Gaming AN515-57-51G6/i5-11400H,24699000,Intel Core i5 - 11400H,8 GB,Yes,NVIDIA GeForce RTX3050 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
4ZR1C39165,5,1,24,Fujitsu CH 9C13A1 i5 1135G7/4ZR1C39165,24499000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,30 W,SSD 512 GB,Yes,"13.3""",1920 x 1080 Pixel,--,Anti-glare LED-backlit,0.995,307,208,15.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
70253898,5,1,154,Dell Inspiron N3501 i7 1165G7/70253898,23869000,Intel Core i7 - 1165G7,8 GB,Yes,NVIDIA GeForce MX330 2GB,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.96,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82K1004YVN,5,1,292,Lenovo Gaming 3 15IHU6 i5 11300H/82K1004YVN,23699000,Intel Core i5 - 11300H,8 GB,Yes,NVIDIA GeForce RTX 3050 4GB,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,120 Hz,IPS LCD,2.25,356.67,251,24.4,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
7G3982,4,4,214,Dell Vostro V3500 i7 1165G7,23299000,Intel Core i7 - 1165G7,8 GB,Yes,GeForce MX330 2GB,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.81,361.4,249,199,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70262927,5,1,7,Dell Inspiron N5410 i5 1155G7/70262927,23299000,Intel Core i5 - 1155G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.65,322,212,18,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
90NB0SM1-M09060,5,19,1633,Asus Zenbook UX425EA-KI429T/i5-1135G7,23199000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.17,319,208,13.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A515EP-BQ196T,5,1,112,ASUS VivoBook A515EP-BQ196T/i7-1165G7,22499000,Intel Core i7 - 1165G7,8 GB,Yes,Nvidia Geforce MX330 2GB,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.8,359,235,17.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0VZ2-M00650,5,1,30,Asus Vivobook Pro M3401QA-KM040T/R7-5800H,22309000,AMD Ryzen 7 - 5800H,8 GB,Yes,AMD Radeon Graphics,90 W,SSD 512 GB,Yes,"14.0""",2880 x 1800 Pixel,90 Hz,OLED,1.4,319,228,19.5,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253897,5,1,165,Dell Inspiron N3501 i5 1135G7/70253897,21829000,Intel Core i5 - 1135G7,8 GB,Yes,NVIDIA GeForce MX330 2GB,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.96,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
460VN,5,1,105,MSI Modern 14 B11MOU 460VN i7 1165G7,21339000,Intel Core i7 - 1195G7,8 GB,Yes,Intel Iris Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
014VN,5,1,17,MSI Gaming GF63 10SC 014VN i5 10200H,20990000,Intel Core i5 - --,8 GB,Yes,NVIDIA® GeForce® GTX1650 4GB,120 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",2.2,359,249.6,24.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
468VN,5,1,1322,MSI Gaming GF63- 468VN i5 10500H,20369000,Intel Core i5 - 10500H,8 GB,Yes,NVIDIA GeForce GTX1650 Max Q 4GB,120 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",1.86,359,254,21.7,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
678VN,5,1,129,MSI Modern 15 A11MU 678VN i5 1155G7,19999000,Intel Core i5 - 1155G7,8 GB,Yes,Intel Iris Graphics,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.6,356.8,233.7,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020,5,1,167,Microsoft Surface Laptop Go/Core i5-1035G1,19999000,Intel Core i5 - 1035G1,8 GB,Yes,Intel UHD Graphics,39 W,SSD 128 GB,Yes,"12.4""",1536 x 1024 (148 PPI),60 Hz,IPS LCD,1.1,278.18,205.67,15.69,Windows 10,Nhôm,Trung Quốc,Yes,Yes,Yes,Yes,Yes,No,Yes
292VN,5,1,33,MSI Gaming Bravo 15 A4DCR 292VN R5 4600H,19990000,AMD Ryzen 5 - 4600H,8 GB,Yes,AMD Radeon RX 5300M 3GB,180 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,"IPS LCD LED Backlit, True Tone",1.91,359,254.5,21.7,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
70262929,5,1,35,Dell Inspiron N5415 R5 5500U/70262929,19799000,AMD Ryzen 5 - 5500U,8 GB,Yes,AMD Radeon Graphics,65 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.43,322,212,18,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
A515EP-BQ496T,5,1,166,Asus Vivobook A515EP-BQ496T/i5-1135G7,19499000,Intel Core i5 - 1135G7,8 GB,Yes,Nvidia Geforce MX330 2GB,42 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.8,359,233,23.5,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82LN00APVN,4,2,304,Lenovo IdeaPad Slim 5 15ALC05 R7 5700U,18999000,AMD Ryzen 7 - 5700U,8 GB,Yes,AMD Radeon Graphics,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.66,356.67,233.13,19.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21A2004AVN,5,1,431,Lenovo ThinkBook 14 G3 ACL R5 5500U/21A2004AVN,18699000,AMD Ryzen 5 - 5500U,8 GB,Yes,AMD Radeon Graphics,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.4,323,217.5,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253897,5,1,2,Dell Vostro V5515 R3 5300U/70253897,18599000,AMD Ryzen 3 - 5300U,8 GB,Yes,AMD Radeon Graphics,65 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.74,356,228,18,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
46L79PA,5,1,91,HP Pavilion 14 dv0510TU i5-1135G7/46L79PA,18499000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,--,FHD,1.41,325,216.6,17,Windows 11,--,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
NS14A9VNV561-ABA,5,1,23,Avita Liber NS14A9 R5 4500U/NS14A9VNV561-ABA,17999000,AMD Ryzen 5 - 4500U,8 GB,Yes,AMD Radeon RX Graphics,42 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,--,1.3,--,--,--,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NS14A9VNV561-UGA,5,1,31,Avita Liber NS14A9 R5 4500U/NS14A9VNV561-UGA,17999000,AMD Ryzen 5 - 4500U,8 GB,Yes,Radeon RX Graphics,42 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,--,1.3,--,--,--,Windows 10,Nhôm,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4P5G7PA,4,3,1388,HP Pavilion 15 eg0540TU i5 1135G7,17999000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,--,1.68,360,234,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NB0TY1-M23210,5,1,20,Asus VivoBook X515EA-BR1409T/i5-1135G7,17599000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,37 W,nan,Yes,"15.6""",1366 x 768 Pixel,60 Hz,LED Backlit,1.8,360,235,199,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
518V6PA,5,1,1024,HP 240 G8 i5 1135G7,17499000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Xe Graphics,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,--,1.42,324,225,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
062VN,5,2,1483,MSI Modern 14 B5M R5 5500U/062VN,17299000,AMD Ryzen 5 - 5500U,8 GB,Yes,AMD Radeon Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
36A43PA,5,1,212,HP 340s G7 i5 1035G1/36A43PA,17199000,Intel Core i5 - 1035G1,8 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,--,1.3,324,225,17.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2H3L1PA,5,1,96,HP Pavilion 14 dv0042TU i5-1135G7,17190000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.41,383,69,305,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H7003UVN,5,1,338,Lenovo IdeaPad Slim 3 14ITL6 i5 1135G7,16999000,Intel Core i5 - 1135G7,8 GB,Yes,Intel Iris Xe Graphics,--,nan,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.41,324,215.6,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A515EA-BN1688T,5,2,638,Asus Vivobook A515EA-BN1688T/i3-1115G4,15999000,Intel Core i3 - 1115G4,8 GB,Yes,Intel UHD Graphics,42 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.8,359,--,23.5,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NK,5,1,28,Dell Inspiron N3502 Pentium N5030/NK,11699000,Intel Pentium - N5030,4 GB,Yes,Intel UHD Graphics 605,45 W,SSD 128 GB,Yes,"15.6""",1366 x 768 Pixel,60 Hz,Anti-glare LED-backlit,1.83,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P91K5,5,1,0,Dell Inspiron N3510 N4020/P91K5_NK,10999000,Intel Celeron - N4020,4 GB,Yes,Intel UHD Graphics 600,65 W,SSD 128 GB,Yes,"15.6""",1366 x 768 Pixel,60 Hz,--,1.65,358.5,235,0.41 ~ 15.6,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90NX03A1-M06750,5,2,209,ASUS Flip BR1100FKA-BP0531T/N4500,9999000,Intel Celeron - N4500,4 GB,Yes,Intel UHD Graphics,45 W,eMMC 128GB,Yes,"11.6""",1366 x 768 Pixel,60 Hz,Anti-glare LED-backlit,1.35,296.9,204.7,20,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
90NB0U71-M00460,4,6,969,Asus Vivobook E210KA-GJ031T/N4500,7799000,Intel Celeron - N4500,4 GB,Yes,Intel UHD Graphics 600,33 W,eMMC 128GB,Yes,"11.6""",1366 x 768 Pixel,--,BrightView LED Backlit,1.1,280.5,189,16.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
